folder,imgname,no_ruler_detected,no_panicles_detected
F6-camacani_5,_DSC0948(3).jpg,x,
F6-camacani_5,_DSC0928(2).jpg,x,
F6-camacani_5,_DSC0923(2).jpg,x,
F6-camacani_5,_DSC0756(3).jpg,x,
F6-camacani_5,_DSC0812(2).jpg,x,
F6-camacani_5,_DSC0744(3).jpg,x,
F6-camacani_5,_DSC0749(3).jpg,x,
F6-camacani_5,_DSC0746(3).jpg,x,
F6-camacani_5,_DSC0798(2).jpg,x,
F6-camacani_5,_DSC0834(2).jpg,x,
F6-camacani_5,_DSC0865(3).jpg,x,
F6-camacani_5,_DSC0907(3).jpg,x,
F6-camacani_5,_DSC0810(2).jpg,x,
F6-camacani_5,_DSC0862(3).jpg,x,
F6-camacani_5,_DSC0792(3).jpg,x,
F6-camacani_5,_DSC0803(2).jpg,x,
F6-camacani_5,_DSC0899(2).jpg,x,
F6-camacani_5,_DSC0780(2).jpg,x,
F6-camacani_5,_DSC0928(3).jpg,x,
F6-camacani_5,_DSC0757(3).jpg,x,
F6-camacani_5,_DSC0939(2).jpg,x,
F6-camacani_5,_DSC0923(3).jpg,x,
F6-camacani_5,_DSC0753(3).jpg,x,
F6-camacani_5,_DSC0811(3).jpg,x,
F6-camacani_5,_DSC0917(2).jpg,x,
F6-camacani_5,_DSC0929(2).jpg,x,
F6-camacani_5,_DSC0881(3).jpg,x,
F6-camacani_5,_DSC0750(2).jpg,x,
F6-camacani_5,_DSC0800(3).jpg,x,
F6-camacani_5,_DSC0866(2).jpg,x,
F6-camacani_5,_DSC0798(3).jpg,x,
F6-camacani_5,_DSC0933(3).jpg,x,
F6-camacani_5,_DSC0841(2).jpg,x,
F6-camacani_5,_DSC0886(2).jpg,x,
F6-camacani_5,_DSC0837(2).jpg,x,
F6-camacani_5,_DSC0802(2).jpg,x,
F6-camacani_5,_DSC0827(3).jpg,x,
F6-camacani_5,_DSC0825(2).jpg,x,
F6-camacani_5,_DSC0894(3).jpg,x,
F6-camacani_5,_DSC0812(3).jpg,x,
F6-camacani_5,_DSC0873(3).jpg,x,
F6-camacani_5,_DSC0838(2).jpg,x,
F6-camacani_5,_DSC0848(3).jpg,x,
F6-camacani_5,_DSC0937(2).jpg,x,
F6-camacani_5,_DSC0824(3).jpg,x,
F6-camacani_5,_DSC0876(2).jpg,x,
F6-camacani_5,_DSC0756(2).jpg,x,
F6-camacani_5,_DSC0916(2).jpg,x,
F6-camacani_5,_DSC0784(2).jpg,x,
F6-camacani_5,_DSC0815(2).jpg,x,
F6-camacani_5,_DSC0939(3).jpg,x,
F6-camacani_5,_DSC0905(2).jpg,x,
F6-camacani_5,_DSC0821(3).jpg,x,
F6-camacani_5,_DSC0794(3).jpg,x,
F6-camacani_5,_DSC0837(3).jpg,x,
F6-camacani_5,_DSC0833(3).jpg,x,
F6-camacani_5,_DSC0920(3).jpg,x,
F6-camacani_5,_DSC0914(2).jpg,x,
F6-camacani_5,_DSC0957(3).jpg,x,
F6-camacani_5,_DSC0791(3).jpg,x,
F6-camacani_5,_DSC0859(3).jpg,x,
F6-camacani_5,_DSC0898(3).jpg,x,
F6-camacani_5,_DSC0750(3).jpg,x,
F6-camacani_5,_DSC0944(2).jpg,x,
F6-camacani_5,_DSC0780(3).jpg,x,
F6-camacani_5,_DSC0887(2).jpg,x,
F6-camacani_5,_DSC0901(3).jpg,x,
F6-camacani_5,_DSC0917(3).jpg,x,
F6-camacani_5,_DSC0801(2).jpg,x,
F6-camacani_5,_DSC0816(2).jpg,x,
F6-camacani_5,_DSC0835(2).jpg,x,
F6-camacani_5,_DSC0875(2).jpg,x,
F6-camacani_5,_DSC0926(2).jpg,x,
F6-camacani_5,_DSC0813(3).jpg,x,
F6-camacani_5,_DSC0833(2).jpg,x,
F6-camacani_5,_DSC0893(2).jpg,x,
F6-camacani_5,_DSC0751(2).jpg,x,
F6-camacani_5,_DSC0853(3).jpg,x,
F6-camacani_5,_DSC0786(3).jpg,x,
F6-camacani_5,_DSC0813(2).jpg,x,
F6-camacani_5,_DSC0932(3).jpg,x,
F6-camacani_5,_DSC0946(2).jpg,x,
F6-camacani_5,_DSC0934(3).jpg,x,
F6-camacani_5,_DSC0953(2).jpg,x,
F6-camacani_5,_DSC0857(3).jpg,x,
F6-camacani_5,_DSC0850(3).jpg,x,
F6-camacani_5,_DSC0895(3).jpg,x,
F6-camacani_5,_DSC0763(2).jpg,x,
F6-camacani_5,_DSC0947(2).jpg,x,
F6-camacani_5,_DSC0890(2).jpg,x,
F6-camacani_5,_DSC0772(2).jpg,x,
F6-camacani_5,_DSC0788(3).jpg,x,
F6-camacani_5,_DSC0761(2).jpg,x,
F6-camacani_5,_DSC0783(3).jpg,x,
F6-camacani_5,_DSC0913(3).jpg,x,
F6-camacani_5,_DSC0844(2).jpg,x,
F6-camacani_5,_DSC0807(3).jpg,x,
